"FACILITY","ADDRESS","LAST INSPECTED","VIOLATIONS","TOTAL # CRITICAL VIOLATIONS","TOTAL #CRIT.  NOT CORRECTED ","TOTAL # NONCRITICAL VIOLATIONS","DESCRIPTION"," LOCAL HEALTH DEPARTMENT","COUNTY","FACILITY ADDRESS","CITY","ZIP CODE","NYSDOH GAZETTEER (1980)","MUNICIPALITY","OPERATION NAME","PERMIT EXPIRATION DATE","PERMITTED  (D/B/A)","PERMITTED  CORP. NAME","PERM. OPERATOR LAST NAME","PERM. OPERATOR FIRST NAME","NYS HEALTH OPERATION ID","INSPECTION TYPE","INSPECTION COMMENTS","FOOD SERVICE FACILITY STATE","Location1"
"LA SALLE PREP CONCESSION STAND","7436 BUFFALO AVENUE,  NIAGARA FALLS","10/03/2025","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Niagara County","NIAGARA","7436 BUFFALO AVENUE","NIAGARA FALLS","14304","310200","NIAGARA FALLS","LA SALLE PREP CONCESSION STAND","10/31/2026",,"NIAGARA FALLS CITY SCHOOL DISTRICT","EDWARDS","KEVIN","883877","Inspection","Non Operational Inspection |Restrooms  : OK|Coolers / Cold  Holds < 45 d F : OK|Hand wash sink : OK|Storage  : OK|Sanitizer  available   100 ppm Cl |Hand  barriers  : OK|Hair  restraints  : OK|Choking  Poster : OK|Permit  posted: OK||Prepacked  snacks  and  cold  drinks  available to serve","NY","(43.07532, -78.97758)"
"TOPPER SALOON & EATERY","1001 Union Center HIGHWAY,  ENDICOTT","01/30/2025","Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces;","0","0","3","Food Service Establishment - Food Service Establishment","Broome County","BROOME","1001 Union Center HIGHWAY","ENDICOTT","13760","036300","UNION","TOPPER SALOON & EATERY","02/28/2026",,"TOPPER SALOON & EATERY INC.","ROZELLE","REBECCA","257039","Inspection",,"NY","(42.109561, -76.071103)"
"Beaumont Golf & Country Club","9113 Brewerton ROAD,  Brewerton","05/27/2025","Item 12D-   Toilet facilities inadequate, inconvenient, dirty, in disrepair, toilet paper missing, not self-closing doors, missing hand wash signs;","0","0","1","Food Service Establishment - Restaurant","Onondaga County","ONONDAGA","9113 Brewerton ROAD","Brewerton","13029","335100","CICERO","Beaumont Golf & Country Club","01/31/2026",,"Beaumont Management Co., LLC","Geiger","Concetta","562478","Inspection","All coolers noted keeping potentially hazardous foods at 45'F or below. as required. No hot holding at this time.  Current food service permit is posted. Food thermometer on site.","NY","(43.211574, -76.132662)"
"MERRILL'S ICE CREAM & GRILL","6277 STATE ROUTE 374,  CHATEAUGAY","07/11/2025","Item  8B-   In use food dispensing utensils improperly stored; Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces;","0","0","3","Food Service Establishment - Food Service Establishment","Saranac Lake District Office","FRANKLIN","6277 STATE ROUTE 374","CHATEAUGAY","12920","165700","CHATEAUGAY","MERRILL'S ICE CREAM & GRILL","05/31/2026",,"S&S LAKESIDE ENTERPRISE","LEGACY","SHAWN","1127679","Inspection","All temperatures recorded were within acceptable ranges: Michigan sauce 148 f, gravy 148 f, maple soft serve mix 40 f, chocolate ice cream mix 41 f, milk 40 f. Multiple food probe thermometers were present on site. All sanitizer concentrations on site were acceptable.","NY","(44.921517, -74.143991)"
"ARBY'S","5737 SOUTH TRANSIT ROAD,  LOCKPORT","07/08/2025","No violations found.","0","0","0","Food Service Establishment - Restaurant","Niagara County","NIAGARA","5737 SOUTH TRANSIT ROAD","LOCKPORT","14094","315300","LOCKPORT","ARBY'S","07/31/2026",,,"SCHIAPPA","PAUL","286399","Inspection","Food testing thermometer ok, coolers <45°, freezers ok, hot holds >140°, quat sanitizer at 200 ppm ok, 3 bay sink ok, hand wash sink ok, vegetable sink ok, mop sink ok, gloves ok, walk in cooler ok, walk in freezer ok, hair restraints ok, choking ok, cpr ok, restrooms ok, dry storage ok, permit ok|Application, insurance, and fee due by the end of the month","NY","(43.147176, -78.696815)"
"RENAISSANCE BAGEL CAFE","309 5TH AVENUE,  PELHAM","09/22/2025","Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans;","0","0","9","Food Service Establishment - Food Service Establishment","Westchester County","WESTCHESTER","309 5TH AVENUE","PELHAM","10803","593600","PELHAM","RENAISSANCE BAGEL CAFE","09/30/2026",,"LJ SNAP INC.","PRESTA","JOSEPH","717392","Inspection","ALL MEASURED TEMPERATURES ADEQUATE AT THIS TIME. REMAINING VIOLATIONS TO BE CHECKED FOR COMPLIANCE AT NEXT ROUTINE INSPECTION. |DISCUSSED THE FOLLOWING: |- ALLERGEN CERTIFIED STAFF|- HOT AND COLD HOLDING METHODS","NY","(40.915561, -73.807628)"
"UUCSR-VEATH HOUSE KITCHEN-SECONDARY","48 SHELTER ROCK  ROAD,  MANHASSET","01/15/2026","No violations found.","0","0","0","Institutional Food Service - Religious, Charitable, Fraternal Organization","Nassau  County","NASSAU","48 SHELTER ROCK  ROAD","MANHASSET","11030","295109","N. HEMPSTEAD","UUCSR-VEATH HOUSE KITCHEN-SECONDARY","07/31/2026","UUCSR-VEATH HOUSE KITCHEN-SECONDARY","UNITARIAN UNIVERSALIST",,,"579339","Inspection","Commercial kitchen  noted  |3-compartment sink 140ºF","NY","(40.784842, -73.681874)"
"NEARY SCHOOL, THE","GEORGE STREET,  HAVERSTRAW","07/08/2025","No violations found.","0","0","0","SED Summer Feeding Prog. - SED Food Preparation Site","Rockland County","ROCKLAND","GEORGE STREET","HAVERSTRAW","10927","435100","HAVERSTRAW","50020106000 BOCES HILLTOP - 800000058114",,,,,,"900616","Inspection","No violations observed. |Program Started on 7/7/25.|On 7/8/2025 program served 110 Breakfasts (50 egg cheese sandwiches and 60 cereals) and prepared 124 lunches (70 turkey cheese sandwiches, 18 PBJ sandwiches, 11 cheese sandwiches, and 24 yogurts). All foods temped below 45 degrees F.|The food was prepared onsite, and not sent to anywhere else. |manager claimed they are not a satellite site.","NY","(41.200883, -73.971854)"
"PEARL EAST","1191 NORTHERN  BOULEVARD,  MANHASSET","04/28/2025","No violations found.","0","0","0","Food Service Establishment - Restaurant","Nassau  County","NASSAU","1191 NORTHERN  BOULEVARD","MANHASSET","11030","295109","N. HEMPSTEAD","PEARL EAST","12/31/2026","PEARL'S EAST","9898 REST CORP",,,"570275","Re-Inspection","No repeat violations noted at time of visit.","NY","(40.79111, -73.702007)"
"POLISH LEGION OF AMERICAN VETERANS","16 LEGION ROAD,  PINE ISLAND","01/29/2025","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Orange County","ORANGE","16 LEGION ROAD","PINE ISLAND","10969","356700","WARWICK","Black Dirt Gourmet @ Polish Legion of Am.","03/31/2026",,"Black Dirt Gourmet LLC","Rogowski","Cheryl","987155","Inspection","water samples taken from raw tap and kitchen sink|cl2= 3.0|36 seats dinning room|20 bar|56 seats","NY","(41.300781, -74.459599)"
"SOUTH SENECA CSD SUMMER FEED","7263 MAIN STREET,  OVID","07/27/2023","Item  2E-  Critical Violation [RED] Accurate thermometers not available or used to evaluate potentially hazardous food temperatures during cooking, cooling, reheating and holding.; Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked);","1","0","1","SED Summer Feeding Prog. - SED Satellite Feeding Site","Seneca  County","SENECA","7263 MAIN STREET","OVID","14521","495400","OVID","SOUTH SENECA ES SUMMER FEED",,,,"SNELL","ADAM","583639","Inspection","THIS FOOD SERVICE IS NOT IN ACCORDANCE WITH NEW YORK STATE GUIDELINES FOR SUMMER FEED PROGRAMS SEE PHOTOS BELOW| FOOD IS PREPARED AT SOUTH SENECA ELEMENTARY PLACED IN FREEZERS; |PACKAGES OF FROZEN FOOD ARE SENT HOME WITH CHILDREN DAILY|TODAY HOT DOGS WERE PUT IN WAX BAGS (FROZEN) THEN PLACED IN BAG WITH APPLES, BREAD, WATERMELON, (ALL WRAPPED INDIVIDUALLY) GRANOLA BAR JUICE AND MILK SENT HOME WITH STUDENTS |SCDOH NOTES THAT ONCE FOOD LEAVES PREMISES SCHOOL CANNOT CONFIRM THAT PROPER TEMPERATURES ARE MAINTAINED DURING COLD HOLDING AND RE HEATING OF FOODS; GIVEN THIS TEMPERATURE SENSITIVE FOODS SHOULD NOT BE SENT HOME WITH STUDENTS UNLESS EFFORTS ARE MADE TO ENSURE FOODS ARE KEPT AT PROPER TEMPERATURE ONCE THEY LEAVE PREMISES (I.E. ICE PACKS, THERMOMETERS, EDUCATION INSTRUCTING PARENTS ABOUT PROPER HANDLING OF FOODS REGARDING COOKING TO PROPER TEMPERATURETHAT WILL ENSURE FOOD THAT IS NOT EATEN IMMEDIATELY IS PROPERLY STORED AT LESS THAN 42F AND REHEATED","NY","(42.67286, -76.823547)"
"RENAISSANCE CLUB OF NORTH TONAWANDA","252 VANDERVOORT STREET,  NORTH TONAWANDA","04/23/2025","Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 11A-   Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions;","0","0","2","Food Service Establishment - Restaurant","Niagara County","NIAGARA","252 VANDERVOORT STREET","NORTH TONAWANDA","14120","310300","NO. TONAWANDA","RENAISSANCE CLUB OF NORTH TONAWANDA","04/30/2026",,"RENAISSANCE CLUB OF NORTH TONAWANDA","TREASURER / RICHARD ELLMAN","PRES./ A. BAKER","286283","Inspection","Cold hold temperatures  <45F|Food Testing Thermometer - available/accurate|3 bay sink - wash/rinse/sanitize (50 PPM Chlorine or 200 PPM Quat)/air dry|Chemical dish machine sanitizing to 200PPM Quat|Handwash sink - single use paper towels, soap, hot water, signage - ok|Mop sink - no cross connection present|Hair restraints/hand barriers  - available/used appropriately|Restrooms - self closing door, handwash signs, single use paper towels, soap, hot water, covered receptacles - ok|CPR kit available, signage posted|Choke poster displayed|Refuse area- ok|Note: Kitchen closed for the summer, bar open Wednesday  and Saturday's 4-11pm","NY","(43.02986, -78.87396)"
"FLOUR CITY BREAD CO","45 PUBLIC MARKET,  ROCHESTER","05/08/2025","Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked);","0","0","1","Food Service Establishment - Bakery","Monroe County","MONROE","45 PUBLIC MARKET","ROCHESTER","14609","270104","ROCHESTER","FLOUR CITY BREAD CO",,,,,,"1146553","Re-Inspection",,"NY","(43.16608, -77.58885)"
"GARDEN CITY NURSERY SCHOOL","50 CHERRY VALLEY AVENUE,  GARDEN CITY","06/11/2025","No violations found.","0","0","0","Institutional Food Service - Day Care Center Food Service","Nassau  County","NASSAU","50 CHERRY VALLEY AVENUE","GARDEN CITY","11530","290500","HEMPSTEAD","GARDEN CITY NURSERY SCHOOL","12/31/2040",,"GARDEN CITY NURSERY SCHOOL",,,"786767","Inspection","Enrollment #: 39 |Approx. 37 at any given time |Age range: 3yrs.-5yrs. |2 classrooms observed (east room, west room)|Allergy lists and EpiPens kept in classrooms |Kids bring own lunch |Snacks provided: animal crackers, pretzels, goldfish, water, popsicles |Gloves present |Snack time: 10:45A.M. |Lunch time: 1P.M.","NY","(40.723685, -73.643256)"
"CITIZEN'S HOSE CO. (pn)","8521 STATE ROUTE 54,  HAMMONDSPORT","08/23/2025","No violations found.","0","0","0","Institutional Food Service - Religious, Charitable, Fraternal Organization","Hornell District Office","STEUBEN","8521 STATE ROUTE 54","HAMMONDSPORT","14840","502800","URBANA","CITIZEN'S HOSE CO., INC./HAMMONDSPORT FIRE DEPT.","05/15/2027",,"CITIZEN'S HOSE CO. INC.","VELEZ","STEPHEN","763884","Inspection","This inspection was performed for the purpose of the Smoke On The Water Event hosted by the Hammondsport Fire Department. There are multiple operators participating in the competition. During the inspection, inspector observed:|- All observed stands are utilizing proper PPE/gloves|- All observed stands have their own hand wash stations consisting of water, soap, and paper towels|- Most observed stands are serving the meat directly from the smokers, though some stands (Smokeman BBQ) are using hot holding methods. Hot holding items are kept at or above 140dF |- Any meat observed to be taken out of the smoker before serving is done so only about 3-5 minutes before cutting portions into serving cups (Polish BBQ)|- All observed stands have their own setup of 3 bins for wash/rinse/sanitize procedures|- No other food is served from the operators involved in the competition - only the competition meat is served|- No cold holding observed","NY","(42.401036, -77.219781)"
"STROMBOLI'S","130 EAST AVENUE,  ROCHESTER","02/05/2025","Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 14A-   Insects, rodents present; Item 14B-   Effective measures not used to control entrance (rodent-, insect-proof contruction). Harborage areas available for rodents, insects and other vermin;","0","0","5","Food Service Establishment - Restaurant","Monroe County","MONROE","130 EAST AVENUE","ROCHESTER","14604","270104","ROCHESTER","STROMBOLI'S","12/31/2019",,,,,"873086","Re-Inspection",,"NY","(43.15726, -77.60037)"
"HOTEL @ VERNON DOWNS","4229 STUHLMAN ROAD,  VERNON","01/07/2026","Item  9C-   Hair is improperly restrained; Item 14B-   Effective measures not used to control entrance (rodent-, insect-proof contruction). Harborage areas available for rodents, insects and other vermin; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces;","0","0","3","Food Service Establishment - Food Service Establishment","Oneida County","ONEIDA","4229 STUHLMAN ROAD","VERNON","13476","327000","VERNON","CHAMPION'S BUFFET","12/31/2026",,,,,"289784","Inspection",,"NY","(43.06698, -75.525175)"
"Kirkville Fire Company","6225 Kirkville Road North,  Kirkville","10/01/2025","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Onondaga County","ONONDAGA","6225 Kirkville Road North","Kirkville","13082","335900","MANLIUS","Kirkville Fire Company","01/31/2027",,"Kirkville Fire Company, Inc.","Hart","Thomas","292832","Inspection","At the time of inspection:  |•	Current 2025-2027 Food Service Permit is posted.|•	Metal stem/probe thermometer noted at facility.  |Reach-in cooler off at time of inspection.  Cooler turned on 2 hours prior to get to 45 oF prior to putting food items in it.|Reminders:   |•	DO NOT OPERATE and immediately notify this office at 315-435-6607 for the following:  Loss of power, Loss of running water or hot water, sewage backup, flooding, fire, or fire suppression discharge.|•	All complaints of possible food illness must be reported to this office within 24 hours- obtain contact information from complainant.|Please note your  permit expires on January 31st 2027.  Permit renewal paperwork will be mailed at the end of December.","NY","(43.11744, -75.97697)"
"BLACK & BLUE STEAK AND CRAB","3349 MONROE AVENUE,  ROCHESTER","12/15/2025","Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 14A-   Insects, rodents present; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces;","0","0","3","Food Service Establishment - Restaurant","Monroe County","MONROE","3349 MONROE AVENUE","ROCHESTER","14618","276300","PITTSFORD","BLACK & BLUE STEAK AND CRAB","12/31/2019",,,,,"668337","Re-Inspection",,"NY","(43.103836, -77.539456)"
"DUNKIN DONUTS","545  UNIONDALE AVENUE,  UNIONDALE","01/07/2025","Item 13B-   Garbage storage areas not properly constructed or maintained, creating a nuisance;","0","0","1","Food Service Establishment - Food Service Establishment","Nassau  County","NASSAU","545  UNIONDALE AVENUE","UNIONDALE","11553","295048","HEMPSTEAD","DUNKIN DONUTS","04/30/2026",,"WJDS SYSTEMS",,,"665649","Inspection","Food Permit# F0116242-Expires April 30. 2025, Food Manager’s certificate A. K# 70364862-Expires January 2026|Inspection ratings: 0/1”A”","NY","(40.701687, -73.592911)"
"CORNING - PAINTED POST MIDDLE SCHOOL","35 VICTORY HIGHWAY,  PAINTED POST","01/23/2026","No violations found.","0","0","0","Institutional Food Service - School K-12 Food Service","Hornell District Office","STEUBEN","35 VICTORY HIGHWAY","PAINTED POST","14870","502600","ERWIN","CORNING-PAINTED POST MIDDLE SCHOOL","04/15/2026",,"CORNING CITY SCHOOL DISTRICT","ROSENWINKEL","WENDY","343077","Inspection","The purpose of this visit is to conduct a routine inspection. The inspector observed:|All cold holding 45oF or below|Facility utilizes time as a public health control. Reviewed tphc checklist; facility is utilizing tphc correctly. |All cooking temperature adequate|Facility has accurate digital stem thermometers at each station, tested|High temperature dishwasher in use, tested, works|Buckets with wiping cloths inside utilizing proper quantities of Quaternary ammonia, tested|Dry storage adequate|Blast chiller has no evidence of condensation|Hand wash facilities adequate, warm water, soap, disposable cloths|Bare hand barriers available for use|No evidence of pests|Vegetable prep sink has gapped drain. |Choking poster and intolerance and allergy posters available and posted properly","NY","(42.166855, -77.096222)"
"LYONS HIGH SCHOOL","10 CLYDE ROAD,  LYONS","07/22/2025","No violations found.","0","0","0","SED Summer Feeding Prog. - SED Food Preparation Site","Geneva District Office","WAYNE","10 CLYDE ROAD","LYONS","14489","585400","LYONS","LYONS HIGH SCHOOL/SFS","05/31/2026",,"LYONS CENTRAL SCHOOL DISTRICT","BELTRONE","VINCENT","702185","Inspection","The program was observed to be in operation at the time of the inspection.  All food protection requirements were adequate at the time of inspection.","NY","(43.063997, -76.985642)"
"LOCKPORT LOCKS & ERIE CANAL CRUISES","210 MARKET STREET,  LOCKPORT","01/15/2025","No violations found.","0","0","0","Food Service Establishment - Restaurant","Niagara County","NIAGARA","210 MARKET STREET","LOCKPORT","14094","310100","LOCKPORT","LOCKPORT LOCKS & ERIE CANAL CRUISES","08/31/2026",,,"SHARON MURPHY","MICHAEL &","286450","Inspection","Restrooms: OK|Handwash Station: OK|Mop Sink: OK|Indirectly drained sink: OK|3-Bay Sink (wash>rinse>sanitize [50 ppm Cl-]>air dry): OK|Cl- Based Dish Machine (50 ppm Cl-): OK |Wipe Cloth Bucket (100 ppm Cl-): OK/available|Food Testing Thermometer: OK/Calibrated/Used Properly|Cold Holds/Coolers: <45°F|Hot Holds: >140°F|Cooling Procedure (120-70°F in two hours; 70-45°F in additional four hours): OK/Discussed|Reheating Procedure (>165°F in less than two hour): OK/Discussed|Cooking Temps: OK|Waitress Stations: OK|Bar Area: OK|Storage Practices: OK|Hand Barriers: OK|Hair Restraints: OK|Choke Poster: OK|CPR Kit: OK|Permit Posted: OK|All surfaces are smooth and easily cleanable|2nd inspection/ Non-operational inspection. |Provided food allergen poster. |REVIEW:|COOLING: COOLING CLOCK STARTS WHEN THE PRODUCT REACHES 120°F -- YOU HAVE 2 HOURS|TO GET THE PRODUCT TO 70°F, THEN YOU HAVE AN ADDITIONAL 4 HOURS TO GET THE PRODUCT|TO <= 45°F|REHEATING: ALL REHEATED PRODUCT THAT IS TO BE HOT HELD MUST BE REHEATED TO >= 165°F|IN <= 2 HOURS|HOT HOLDING: ALL PRODUCT MUST BE MAINTAINED @ >= 140°F AT ALL TIMES|COLD HOLDING: ALL PRODUCT MUST BE MAINTAINED @ <= 45°F","NY","(43.175113, -78.68711)"
"WITCHES VILLAGE CAFE","2 WASHINGTON  SQUARE,  GREENWICH","10/16/2025","Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;","0","0","2","Food Service Establishment - Food Service Establishment","Glens Falls District Office","WASHINGTON","2 WASHINGTON  SQUARE","GREENWICH","12834","575700","GREENWICH","WITCHES VILLAGE CAFE","03/31/2026",,"WITCHES VILLAGE CAFE, INC","MACNEIL","MARY","1145806","Inspection","All violations are to be corrected in a timely manner and are subject to enforcement action.","NY","(43.090694, -73.499175)"
"SUBWAY #13700- MALTA","9 KENDALL WAY,  MALTA","09/10/2025","Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 14B-   Effective measures not used to control entrance (rodent-, insect-proof contruction). Harborage areas available for rodents, insects and other vermin; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;","0","0","4","Food Service Establishment - Food Service Establishment","Saratoga County","SARATOGA","9 KENDALL WAY","MALTA","12020","456000","MALTA","SUBWAY 13700 (MALTA)","02/28/2027",,"NIRC, INC","FADEN","RUSSELL","1120680","Inspection","All violations must be corrected in a timely manner and are subject to enforcement action.","NY","(42.973425, -73.792407)"
"SPRING VALLEY UNITED METHODIST","2 SOUTH MADISON AVENUE,  SPRING VALLEY","02/07/2025","Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;","0","0","2","Food Service Establishment - Food Service Establishment","Rockland County","ROCKLAND","2 SOUTH MADISON AVENUE","SPRING VALLEY","10977","435300","RAMAPO","SPRING VALLEY UNITED METHODIST","01/31/2026","SPRING VALLEY UNITED METHODIST","SPRING VALLEY UNITED METHODIST CHURCH","UNITED METHODIST CHURCH","SPRING VALLEY","303558","Inspection","Violations discussed with V.H.L.|Please be aware that any violation of the NYS Sanitary Code subpart 14-1 may be subject to a civil penalty of up to $2,000 per day.","NY","(41.111182, -74.045831)"
"RAMMI'S BAGELS, INC.","181 ROUTE 6,  MAHOPAC","12/17/2025","Item 11D-   Non food contact surfaces of equipment not clean; Item 13B-   Garbage storage areas not properly constructed or maintained, creating a nuisance; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces;","0","0","3","Food Service Establishment - Food Service Establishment","Putnam County","PUTNAM","181 ROUTE 6","MAHOPAC","10541","395000","CARMEL","RAMMI'S BAGELS, INC.","03/31/2026",,"RAMMI'S BAGELS, INC","NARVAEZ","LUIS","813616","Inspection",,"NY","(41.349508, -73.754685)"
"PIERCE COUNTRY DAY SCHOOL CAMP","37 MINEOLA AVENUE,  ROSLYN","08/13/2025","No violations found.","0","0","0","Institutional Food Service - Children's Camp Food Service","Nassau  County","NASSAU","37 MINEOLA AVENUE","ROSLYN","11576","295300","N. HEMPSTEAD","PIERCE CLUBHOUSE KITCHEN","08/22/2025",,,,,"589549","Inspection","chicken tenders, green beans, pasta|soap and paper towels noted at hand wash sinks|hot water temperature was satisfactory |gloves noted|product thermometer noted|chicken tenders - 145F|pasta - 153F|AT - FMTC exp.  April no.  455753","NY","(40.795823, -73.65616)"
"UNCOMMON GROUNDS","9 CLIFTON COUNTRY ROAD,  CLIFTON PARK","03/14/2025","Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 12D-   Toilet facilities inadequate, inconvenient, dirty, in disrepair, toilet paper missing, not self-closing doors, missing hand wash signs; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 14B-   Effective measures not used to control entrance (rodent-, insect-proof contruction). Harborage areas available for rodents, insects and other vermin; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;","0","0","6","Food Service Establishment - Food Service Establishment","Saratoga County","SARATOGA","9 CLIFTON COUNTRY ROAD","CLIFTON PARK","12065","455200","CLIFTON PARK","UNCOMMON GROUNDS OF CLIFTON PARK","02/28/2026",,"UNCOMMON GROUNDS OF CLIFTON PARK, LLC.","HOOVER","MICHAEL","1120935","Inspection","All violations must be corrected in a timely manner and are subject to enforcement actions.|Per complaint, the light fixtures over the lights and over the food service area are full of dirt and dust and is dripping filthy onto the tables and food. Inspector did cite the violation for the accumulation of dust observed in multiple areas of the facility. No contamination of food products was observed during the inspection/investigation. Education was provided to the operator on cleanliness of food areas.","NY","(42.860107, -73.780993)"
"ROUND HILL ELEMENTARY SCHOOL","1314 ROUTE 208,  WASHINGTONVILLE","01/21/2026","No violations found.","0","0","0","Institutional Food Service - School K-12 Food Service","Orange County","ORANGE","1314 ROUTE 208","WASHINGTONVILLE","10992","355000","BLOOMING GR.","Round Hill Elementary School","12/31/2026",,"Washingtonville Central School District","Gellman","Robert","601972","Inspection",,"NY","(41.39859, -74.18116)"
"CHAI PITA LAND","408 ROUTE 59,  MONSEY","01/07/2026","Item  5C-  Critical Violation [RED] Potentially hazardous foods are not stored under refrigeration except during necessary preparation or approved precooling procedures (room temperature storage).; Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 11D-   Non food contact surfaces of equipment not clean; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;","1","0","3","Food Service Establishment - Food Service Establishment","Rockland County","ROCKLAND","408 ROUTE 59","MONSEY","10952","435300","RAMAPO","CHAI PITA LAND","01/31/2027","CHAI PITA LAND","PITA CONCEPT CORP.","LANDWIRT","DAVID","305149","Inspection","Please be aware that any violation of the NYS Sanitary Code Subpart 14-1 may be subject to a civil penalty up to $2,000 per day.","NY","(41.110193, -74.089994)"
"TWIN OAKS DAY CAMP","458 BABYLON TURNPIKE,  FREEPORT","08/14/2025","No violations found.","0","0","0","Institutional Food Service - Children's Camp Food Service","Nassau  County","NASSAU","458 BABYLON TURNPIKE","FREEPORT","11520","290400","HEMPSTEAD","TWIN OAKS DAY CAMP- KITCHEN","08/22/2025",,,,,"437992","Re-Inspection",,"NY","(40.668162, -73.574892)"
"MCDONALD'S","720-724 NORTH AVENUE,  NEW ROCHELLE","01/28/2026","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Westchester County","WESTCHESTER","720-724 NORTH AVENUE","NEW ROCHELLE","10801","590400","NEW ROCHELLE","MCDONALD'S","08/31/2026","MCDONALD'S","THE COLLEY GROUP","RIZO","EDGAR","447231","Inspection","Inspection of McDonald's at 720-724 North Avenue in New Rochelle NY 10801.|Facility observed in an overall clean and sanitary state.  Overall food protection, employee hygiene and behavior, equipment and maintenance, cleanliness of facility, plumbing and sinks, garbage storage and disposal, status of pests, and general physical plant all observed in an adequate state.|Allergen trained staff provided on site.  All temperatures measured adequate - facility uses time as a public health control, disposing of all food after a set period, as allowed under their waiver.  No evidence of pests on site.|Facility is observed without significant violations.  Operator is reminded to ensure that all sink handles are tight and without leak, and ensure that all surfaces in facility are smooth, durable, nonabsorbant, and easy to clean - provided equipment from corporation is adequate, no need for any cardboard on shelving or similar.||Facility to be maintained in adequate state observed today at time of inspection.","NY","(40.92533, -73.78528)"
"PAM'S CAKES AND SWEETS","20 COPPER WOODS,  PITTSFORD","10/15/2025","No violations found.","0","0","0","Food Service Establishment - Bakery","Monroe County","MONROE","20 COPPER WOODS","PITTSFORD","14534","276300","PITTSFORD","PAM'S CAKES AND SWEETS","12/31/2019",,,,,"912322","Inspection","No violations observed at the time of inspection.","NY","(43.05648, -77.5293)"
